bilmerke;alder;Registrerte personbiler 2019;Registrerte varebiler 2019
Autokaross i Floby AB;8 - 11 år;0;0
Autokaross i Floby AB;12 - 15 år;0;0
Autokaross i Floby AB;16 - 20 år;0;0
Autokaross i Floby AB;Over 20 år;0;0
Automobili Lamborg;Under 4 år;17;0
Automobili Lamborg;4 - 7 år;5;0
Automobili Lamborg;8 - 11 år;0;0
Automobili Lamborg;12 - 15 år;0;0
Automobili Lamborg;16 - 20 år;0;0
Automobili Lamborg;Over 20 år;1;0
Autostar;Under 4 år;0;0
Autostar;4 - 7 år;0;0
Autostar;8 - 11 år;0;0
Autostar;12 - 15 år;0;16
Autostar;16 - 20 år;0;0
Autostar;Over 20 år;0;0
Azure Dynamics;Under 4 år;0;0
Azure Dynamics;4 - 7 år;0;47
Azure Dynamics;8 - 11 år;0;44
Azure Dynamics;12 - 15 år;0;0
Azure Dynamics;16 - 20 år;0;0
Azure Dynamics;Over 20 år;0;0
Barton Hover;Under 4 år;0;0
Barton Hover;4 - 7 år;0;0
Barton Hover;8 - 11 år;0;0
Barton Hover;12 - 15 år;0;0
Barton Hover;16 - 20 år;0;0
Barton Hover;Over 20 år;0;0
Beck;Under 4 år;0;0
Beck;4 - 7 år;0;0
Beck;8 - 11 år;0;0
Beck;12 - 15 år;0;0
Beck;16 - 20 år;0;0
Beck;Over 20 år;1;0
Bedford;Under 4 år;0;0
Bedford;4 - 7 år;0;0
Bedford;8 - 11 år;0;0
Bedford;12 - 15 år;0;0
Bedford;16 - 20 år;0;0
Bedford;Over 20 år;3;9
Bentley;Under 4 år;23;0
Bentley;4 - 7 år;28;0
Bentley;8 - 11 år;19;0
Bentley;12 - 15 år;36;0
Bentley;16 - 20 år;23;0
Bentley;Over 20 år;104;0
Binz;Under 4 år;0;1
Binz;4 - 7 år;1;20
Binz;8 - 11 år;1;8
Binz;12 - 15 år;0;0
Binz;16 - 20 år;0;0
Binz;Over 20 år;0;0
Birkeland;Under 4 år;0;0
Birkeland;4 - 7 år;0;0
Birkeland;8 - 11 år;0;0
Birkeland;12 - 15 år;0;0
Birkeland;16 - 20 år;0;0
Birkeland;Over 20 år;0;0
Bluebird;Under 4 år;0;0
Bluebird;4 - 7 år;0;0
Bluebird;8 - 11 år;0;0
Bluebird;12 - 15 år;0;0
Bluebird;16 - 20 år;0;0
Bluebird;Over 20 år;0;0
Bmc;Under 4 år;0;0
Bmc;4 - 7 år;0;0
Bmc;8 - 11 år;0;0
Bmc;12 - 15 år;0;0
Bmc;16 - 20 år;0;0
Bmc;Over 20 år;260;11
Bmw;Under 4 år;20253;0
Bmw;4 - 7 år;38562;1
Bmw;8 - 11 år;39277;0
Bmw;12 - 15 år;30959;1
Bmw;16 - 20 år;17103;21
Bmw;Over 20 år;11593;51
Bmw i;Under 4 år;15890;0
Bmw i;4 - 7 år;5023;0
Bmw i;8 - 11 år;0;0
Bmw i;12 - 15 år;0;0
Bmw i;16 - 20 år;0;0
Bmw i;Over 20 år;0;0
Boom Trikes;Under 4 år;0;0
Boom Trikes;4 - 7 år;0;0
Boom Trikes;8 - 11 år;0;0
Boom Trikes;12 - 15 år;0;0
Boom Trikes;16 - 20 år;3;0
Boom Trikes;Over 20 år;18;0
Borgward;Under 4 år;0;0
Borgward;4 - 7 år;0;0
Borgward;8 - 11 år;0;0
Borgward;12 - 15 år;0;0
Borgward;16 - 20 år;0;0
Borgward;Over 20 år;24;4
Brasier;Under 4 år;0;0
Brasier;4 - 7 år;0;0
Brasier;8 - 11 år;0;0
Brasier;12 - 15 år;0;0
Brasier;16 - 20 år;0;0
Brasier;Over 20 år;1;0
Bsa;Under 4 år;0;0
Bsa;4 - 7 år;0;0
Bsa;8 - 11 år;0;0
Bsa;12 - 15 år;0;0
Bsa;16 - 20 år;0;0
Bsa;Over 20 år;2;0
Bugatti;Under 4 år;0;0
Bugatti;4 - 7 år;0;0
Bugatti;8 - 11 år;0;0
Bugatti;12 - 15 år;1;0
Bugatti;16 - 20 år;0;0
Bugatti;Over 20 år;2;0
Buick;Under 4 år;0;0
Buick;4 - 7 år;0;0
Buick;8 - 11 år;1;0
Buick;12 - 15 år;0;0
Buick;16 - 20 år;5;0
Buick;Over 20 år;1462;7
Burstner;Under 4 år;0;0
Burstner;4 - 7 år;1;0
Burstner;8 - 11 år;0;8
Burstner;12 - 15 år;0;847
Burstner;16 - 20 år;0;354
Burstner;Over 20 år;0;188
Busconcept;Under 4 år;2;0
Busconcept;4 - 7 år;0;0
Busconcept;8 - 11 år;0;0
Busconcept;12 - 15 år;0;0
Busconcept;16 - 20 år;0;0
Busconcept;Over 20 år;0;0
Bus-prestige;Under 4 år;1;0
Bus-prestige;4 - 7 år;0;0
Bus-prestige;8 - 11 år;0;0
Bus-prestige;12 - 15 år;0;0
Bus-prestige;16 - 20 år;0;0
Bus-prestige;Over 20 år;0;0
Bussing;Under 4 år;0;0
Bussing;4 - 7 år;0;0
Bussing;8 - 11 år;0;0
Bussing;12 - 15 år;0;0
Bussing;16 - 20 år;0;0
Bussing;Over 20 år;0;0
Buster;Under 4 år;0;0
Buster;4 - 7 år;0;0
Buster;8 - 11 år;0;0
Buster;12 - 15 år;0;1
Buster;16 - 20 år;0;0
Buster;Over 20 år;0;0
Bygg bil;Under 4 år;10;0
