bilmerke;alder;Registrerte personbiler 2019;Registrerte varebiler 2019
Gmc;4 - 7 år;3;19
Gmc;8 - 11 år;0;6
Gmc;12 - 15 år;104;110
Gmc;16 - 20 år;29;14
Gmc;Over 20 år;182;143
Goggomobil;Under 4 år;0;0
Goggomobil;4 - 7 år;0;0
Goggomobil;8 - 11 år;0;0
Goggomobil;12 - 15 år;0;0
Goggomobil;16 - 20 år;0;0
Goggomobil;Over 20 år;4;0
Goliath;Under 4 år;0;0
Goliath;4 - 7 år;0;0
Goliath;8 - 11 år;0;0
Goliath;12 - 15 år;0;0
Goliath;16 - 20 år;0;0
Goliath;Over 20 år;1;0
Goupil;Under 4 år;0;9
Goupil;4 - 7 år;0;0
Goupil;8 - 11 år;0;0
Goupil;12 - 15 år;0;0
Goupil;16 - 20 år;0;0
Goupil;Over 20 år;0;0
Graham Edwards;Under 4 år;0;0
Graham Edwards;4 - 7 år;0;0
Graham Edwards;8 - 11 år;0;0
Graham Edwards;12 - 15 år;0;0
Graham Edwards;16 - 20 år;0;0
Graham Edwards;Over 20 år;1;0
Great Wall Motor C;Under 4 år;0;0
Great Wall Motor C;4 - 7 år;0;0
Great Wall Motor C;8 - 11 år;0;4
Great Wall Motor C;12 - 15 år;0;0
Great Wall Motor C;16 - 20 år;0;0
Great Wall Motor C;Over 20 år;0;0
Gutbrod;Under 4 år;0;0
Gutbrod;4 - 7 år;0;0
Gutbrod;8 - 11 år;0;0
Gutbrod;12 - 15 år;0;0
Gutbrod;16 - 20 år;0;0
Gutbrod;Over 20 år;0;0
Hanomag-Henschel;Under 4 år;0;0
Hanomag-Henschel;4 - 7 år;0;0
Hanomag-Henschel;8 - 11 år;0;0
Hanomag-Henschel;12 - 15 år;0;0
Hanomag-Henschel;16 - 20 år;0;0
Hanomag-Henschel;Over 20 år;4;13
Hansa;Under 4 år;0;0
Hansa;4 - 7 år;0;0
Hansa;8 - 11 år;0;0
Hansa;12 - 15 år;0;0
Hansa;16 - 20 år;0;0
Hansa;Over 20 år;3;0
Heinkel;Under 4 år;0;0
Heinkel;4 - 7 år;0;0
Heinkel;8 - 11 år;0;0
Heinkel;12 - 15 år;0;0
Heinkel;16 - 20 år;0;0
Heinkel;Over 20 år;1;0
Henry J.;Under 4 år;0;0
Henry J.;4 - 7 år;0;0
Henry J.;8 - 11 år;0;0
Henry J.;12 - 15 år;0;0
Henry J.;16 - 20 år;0;0
Henry J.;Over 20 år;5;0
Her Chee;Under 4 år;0;0
Her Chee;4 - 7 år;0;0
Her Chee;8 - 11 år;0;0
Her Chee;12 - 15 år;0;0
Her Chee;16 - 20 år;0;0
Her Chee;Over 20 år;0;0
Hillman;Under 4 år;0;0
Hillman;4 - 7 år;0;0
Hillman;8 - 11 år;0;0
Hillman;12 - 15 år;0;0
Hillman;16 - 20 år;0;0
Hillman;Over 20 år;124;0
Hino;Under 4 år;0;0
Hino;4 - 7 år;0;0
Hino;8 - 11 år;0;0
Hino;12 - 15 år;0;0
Hino;16 - 20 år;0;0
Hino;Over 20 år;9;1
Hmmwv;Under 4 år;0;0
Hmmwv;4 - 7 år;0;0
Hmmwv;8 - 11 år;0;0
Hmmwv;12 - 15 år;0;0
Hmmwv;16 - 20 år;0;0
Hmmwv;Over 20 år;1;0
Hobby;Under 4 år;0;0
Hobby;4 - 7 år;0;0
Hobby;8 - 11 år;0;7
Hobby;12 - 15 år;4;493
Hobby;16 - 20 år;0;22
Hobby;Over 20 år;0;140
Home-Car;Under 4 år;0;0
Home-Car;4 - 7 år;0;0
Home-Car;8 - 11 år;0;0
Home-Car;12 - 15 år;0;23
Home-Car;16 - 20 år;0;0
Home-Car;Over 20 år;0;1
Honda;Under 4 år;2923;0
Honda;4 - 7 år;8480;0
Honda;8 - 11 år;9437;0
Honda;12 - 15 år;16930;86
Honda;16 - 20 år;9475;43
Honda;Over 20 år;4352;41
Horch;Under 4 år;0;0
Horch;4 - 7 år;0;0
Horch;8 - 11 år;0;0
Horch;12 - 15 år;0;0
Horch;16 - 20 år;0;0
Horch;Over 20 år;3;0
Hudson;Under 4 år;0;0
Hudson;4 - 7 år;0;0
Hudson;8 - 11 år;0;0
Hudson;12 - 15 år;0;0
Hudson;16 - 20 år;0;0
Hudson;Over 20 år;70;2
Huiskamp carrosseriefabriek;Under 4 år;0;3
Huiskamp carrosseriefabriek;4 - 7 år;0;0
Huiskamp carrosseriefabriek;8 - 11 år;0;0
Huiskamp carrosseriefabriek;12 - 15 år;0;0
Huiskamp carrosseriefabriek;16 - 20 år;0;0
Huiskamp carrosseriefabriek;Over 20 år;0;0
Humber;Under 4 år;0;0
Humber;4 - 7 år;0;0
Humber;8 - 11 år;0;0
Humber;12 - 15 år;0;0
Humber;16 - 20 år;1;0
Humber;Over 20 år;21;1
Hummer;Under 4 år;0;0
Hummer;4 - 7 år;0;0
Hummer;8 - 11 år;0;0
Hummer;12 - 15 år;97;27
Hummer;16 - 20 år;51;3
Hummer;Over 20 år;1;0
Hymer;Under 4 år;0;0
Hymer;4 - 7 år;0;0
Hymer;8 - 11 år;0;5
Hymer;12 - 15 år;1;430
Hymer;16 - 20 år;0;187
Hymer;Over 20 år;1;87
Hyundai;Under 4 år;17355;102
Hyundai;4 - 7 år;11277;563
Hyundai;8 - 11 år;17876;1219
Hyundai;12 - 15 år;9825;1501
Hyundai;16 - 20 år;4963;650
Hyundai;Over 20 år;1137;226
Ifa;Under 4 år;0;0
Ifa;4 - 7 år;0;0
Ifa;8 - 11 år;0;0
Ifa;12 - 15 år;0;0
Ifa;16 - 20 år;0;0
Ifa;Over 20 år;17;0
Imp.spes.kjøretøy;Under 4 år;0;0
Imp.spes.kjøretøy;4 - 7 år;0;0
Imp.spes.kjøretøy;8 - 11 år;0;0
Imp.spes.kjøretøy;12 - 15 år;0;0
Imp.spes.kjøretøy;16 - 20 år;0;0
Imp.spes.kjøretøy;Over 20 år;2;1
Imperial;Under 4 år;0;0
Imperial;4 - 7 år;0;0
Imperial;8 - 11 år;0;0
Imperial;12 - 15 år;0;0
Imperial;16 - 20 år;0;0
Imperial;Over 20 år;1;0
Infiniti;Under 4 år;1;0
Infiniti;4 - 7 år;4;0
Infiniti;8 - 11 år;4;0
Infiniti;12 - 15 år;2;0
Infiniti;16 - 20 år;1;0
Infiniti;Over 20 år;0;0
International;Under 4 år;0;0
International;4 - 7 år;0;0
International;8 - 11 år;0;0
International;12 - 15 år;0;0
International;16 - 20 år;0;0
International;Over 20 år;12;26
International Harvester;Under 4 år;0;0
International Harvester;4 - 7 år;0;0
International Harvester;8 - 11 år;0;0
International Harvester;12 - 15 år;0;0
International Harvester;16 - 20 år;0;0
International Harvester;Over 20 år;3;1
Iso;Under 4 år;0;0
Iso;4 - 7 år;0;0
Iso;8 - 11 år;0;0
Iso;12 - 15 år;0;0
Iso;16 - 20 år;0;0
Iso;Over 20 år;1;0
Isoli;Under 4 år;0;1
Isoli;4 - 7 år;0;0
Isoli;8 - 11 år;0;0
Isoli;12 - 15 år;0;0
Isoli;16 - 20 år;0;0
Isoli;Over 20 år;0;0
Istrail;Under 4 år;0;0
Istrail;4 - 7 år;0;0
Istrail;8 - 11 år;0;0
Istrail;12 - 15 år;0;0
Istrail;16 - 20 år;0;0
Istrail;Over 20 år;0;0
Isuzu;Under 4 år;1;2563
Isuzu;4 - 7 år;2;3333
Isuzu;8 - 11 år;60;2136
Isuzu;12 - 15 år;141;854
Isuzu;16 - 20 år;4;0
Isuzu;Over 20 år;43;48
Iveco;Under 4 år;3;627
Iveco;4 - 7 år;9;649
Iveco;8 - 11 år;19;352
Iveco;12 - 15 år;23;467
Iveco;16 - 20 år;27;181
Iveco;Over 20 år;20;53
Izh;Under 4 år;0;0
Izh;4 - 7 år;0;0
Izh;8 - 11 år;0;0
Izh;12 - 15 år;0;0
Izh;16 - 20 år;0;0
Izh;Over 20 år;0;0
Jac;Under 4 år;1;0
Jac;4 - 7 år;0;0
Jac;8 - 11 år;0;0
Jac;12 - 15 år;0;0
Jac;16 - 20 år;0;0
Jac;Over 20 år;0;0
Jaguar;Under 4 år;4993;0
Jaguar;4 - 7 år;407;0
Jaguar;8 - 11 år;379;0
Jaguar;12 - 15 år;561;0
Jaguar;16 - 20 år;687;0
Jaguar;Over 20 år;1894;0
Jaguar Cars;Under 4 år;0;0
Jaguar Cars;4 - 7 år;23;0
Jaguar Cars;8 - 11 år;7;0
Jaguar Cars;12 - 15 år;0;0
Jaguar Cars;16 - 20 år;0;0
Jaguar Cars;Over 20 år;2;0
Jaguar Cars Limited;Under 4 år;0;0
Jaguar Cars Limited;4 - 7 år;6;0
Jaguar Cars Limited;8 - 11 år;0;0
Jaguar Cars Limited;12 - 15 år;0;0
Jaguar Cars Limited;16 - 20 år;0;0
Jaguar Cars Limited;Over 20 år;0;0
Jaguar Land Rover;Under 4 år;0;0
Jaguar Land Rover;4 - 7 år;2;0
Jaguar Land Rover;8 - 11 år;4;0
Jaguar Land Rover;12 - 15 år;0;0
Jaguar Land Rover;16 - 20 år;0;0
Jaguar Land Rover;Over 20 år;0;0
Jaguar Land Rover Limited;Under 4 år;15;0
Jaguar Land Rover Limited;4 - 7 år;1857;462
Jaguar Land Rover Limited;8 - 11 år;0;0
Jaguar Land Rover Limited;12 - 15 år;0;0
Jaguar Land Rover Limited;16 - 20 år;0;0
Jaguar Land Rover Limited;Over 20 år;0;0
Jaguar(Jaguar Cars Limited);Under 4 år;0;0
Jaguar(Jaguar Cars Limited);4 - 7 år;0;0
Jaguar(Jaguar Cars Limited);8 - 11 år;0;0
Jaguar(Jaguar Cars Limited);12 - 15 år;0;0
Jaguar(Jaguar Cars Limited);16 - 20 år;1;0
Jaguar(Jaguar Cars Limited);Over 20 år;1;0
Jaguar(Jaguar Land Rover);Under 4 år;0;0
Jaguar(Jaguar Land Rover);4 - 7 år;2;1
Jaguar(Jaguar Land Rover);8 - 11 år;0;0
Jaguar(Jaguar Land Rover);12 - 15 år;0;0
Jaguar(Jaguar Land Rover);16 - 20 år;0;0
Jaguar(Jaguar Land Rover);Over 20 år;0;0
Jalta;Under 4 år;0;0
Jalta;4 - 7 år;0;0
Jalta;8 - 11 år;0;0
Jalta;12 - 15 år;0;0
Jalta;16 - 20 år;0;0
Jalta;Over 20 år;0;0
Jawa;Under 4 år;0;0
Jawa;4 - 7 år;0;0
Jawa;8 - 11 år;0;0
Jawa;12 - 15 år;0;0
Jawa;16 - 20 år;0;0
Jawa;Over 20 år;1;0
Jeep;Under 4 år;206;118
Jeep;4 - 7 år;649;245
Jeep;8 - 11 år;523;307
Jeep;12 - 15 år;1445;219
Jeep;16 - 20 år;1322;94
Jeep;Over 20 år;2294;251
Jensen;Under 4 år;0;0
Jensen;4 - 7 år;0;0
Jensen;8 - 11 år;0;0
Jensen;12 - 15 år;0;0
Jensen;16 - 20 år;0;0
Jensen;Over 20 år;48;0
Jf;Under 4 år;0;0
Jf;4 - 7 år;0;0
Jf;8 - 11 år;0;0
Jf;12 - 15 år;0;0
Jf;16 - 20 år;0;0
Jf;Over 20 år;0;0
Joint;Under 4 år;0;0
Joint;4 - 7 år;0;0
Joint;8 - 11 år;0;0
Joint;12 - 15 år;0;8
Joint;16 - 20 år;0;10
Joint;Over 20 år;0;0
Jomi;Under 4 år;0;0
Jomi;4 - 7 år;0;0
Jomi;8 - 11 år;0;0
Jomi;12 - 15 år;0;0
Jomi;16 - 20 år;0;0
Jomi;Over 20 år;0;0
Jowett;Under 4 år;0;0
Jowett;4 - 7 år;0;0
Jowett;8 - 11 år;0;0
Jowett;12 - 15 år;0;0
Jowett;16 - 20 år;0;0
Jowett;Over 20 år;2;0
Junge Fahrzeugbau Gmbh;Under 4 år;0;0
Junge Fahrzeugbau Gmbh;4 - 7 år;0;1
Junge Fahrzeugbau Gmbh;8 - 11 år;0;0
Junge Fahrzeugbau Gmbh;12 - 15 år;0;0
Junge Fahrzeugbau Gmbh;16 - 20 år;0;0
Junge Fahrzeugbau Gmbh;Over 20 år;0;0
Junkkari;Under 4 år;0;0
Junkkari;4 - 7 år;0;0
Junkkari;8 - 11 år;0;0
Junkkari;12 - 15 år;0;0
Junkkari;16 - 20 år;0;0
Junkkari;Over 20 år;0;0
K.Vagnen;Under 4 år;0;0
K.Vagnen;4 - 7 år;0;0
K.Vagnen;8 - 11 år;0;0
K.Vagnen;12 - 15 år;0;0
K.Vagnen;16 - 20 år;0;0
K.Vagnen;Over 20 år;1;0
Kabe;Under 4 år;0;0
Kabe;4 - 7 år;0;0
Kabe;8 - 11 år;0;0
Kabe;12 - 15 år;0;10
Kabe;16 - 20 år;1;4
Kabe;Over 20 år;0;0
Kaiser;Under 4 år;0;0
Kaiser;4 - 7 år;0;0
Kaiser;8 - 11 år;0;0
Kaiser;12 - 15 år;0;0
Kaiser;16 - 20 år;0;0
Kaiser;Over 20 år;16;0
Kalmar;Under 4 år;0;0
Kalmar;4 - 7 år;0;0
Kalmar;8 - 11 år;0;0
Kalmar;12 - 15 år;0;0
Kalmar;16 - 20 år;0;0
Kalmar;Over 20 år;1;1
Karmann Mobil;Under 4 år;0;0
Karmann Mobil;4 - 7 år;0;0
Karmann Mobil;8 - 11 år;0;2
Karmann Mobil;12 - 15 år;0;25
Karmann Mobil;16 - 20 år;0;0
Karmann Mobil;Over 20 år;0;0
Kerstner;Under 4 år;0;0
Kerstner;4 - 7 år;0;1
Kerstner;8 - 11 år;0;0
Kerstner;12 - 15 år;0;0
Kerstner;16 - 20 år;0;0
Kerstner;Over 20 år;0;0
Kewet;Under 4 år;0;0
Kewet;4 - 7 år;0;0
Kewet;8 - 11 år;0;0
Kewet;12 - 15 år;0;0
Kewet;16 - 20 år;0;0
Kewet;Over 20 år;6;0
Kia;Under 4 år;19413;63
Kia;4 - 7 år;23346;170
Kia;8 - 11 år;9774;226
Kia;12 - 15 år;4256;137
Kia;16 - 20 år;757;149
Kia;Over 20 år;173;46
Knaus;Under 4 år;0;0
Knaus;4 - 7 år;0;0
Knaus;8 - 11 år;0;1
Knaus;12 - 15 år;2;192
Knaus;16 - 20 år;1;68
Knaus;Over 20 år;0;5
Korando;Under 4 år;0;0
Korando;4 - 7 år;0;0
Korando;8 - 11 år;0;0
Korando;12 - 15 år;0;0
Korando;16 - 20 år;0;0
Korando;Over 20 år;6;5
Ktm;Under 4 år;0;0
Ktm;4 - 7 år;0;0
Ktm;8 - 11 år;0;0
Ktm;12 - 15 år;0;0
Ktm;16 - 20 år;0;0
Ktm;Over 20 år;0;0
Lada-Vaz;Under 4 år;0;0
Lada-Vaz;4 - 7 år;0;0
Lada-Vaz;8 - 11 år;0;0
Lada-Vaz;12 - 15 år;0;0
Lada-Vaz;16 - 20 år;0;0
Lada-Vaz;Over 20 år;1;0
Laika;Under 4 år;0;0
Laika;4 - 7 år;0;0
Laika;8 - 11 år;0;1
Laika;12 - 15 år;0;10
Laika;16 - 20 år;0;1
Laika;Over 20 år;0;0
Lamar;Under 4 år;0;9
Lamar;4 - 7 år;0;0
Lamar;8 - 11 år;0;0
Lamar;12 - 15 år;0;0
Lamar;16 - 20 år;0;0
Lamar;Over 20 år;0;0
Lamborghini;Under 4 år;9;0
Lamborghini;4 - 7 år;22;0
Lamborghini;8 - 11 år;6;0
Lamborghini;12 - 15 år;16;0
Lamborghini;16 - 20 år;12;0
Lamborghini;Over 20 år;43;0
Lancia;Under 4 år;0;0
Lancia;4 - 7 år;21;3
Lancia;8 - 11 år;42;1
Lancia;12 - 15 år;23;0
Lancia;16 - 20 år;31;0
Lancia;Over 20 år;204;1
Land Rover;Under 4 år;1036;595
Land Rover;4 - 7 år;806;304
Land Rover;8 - 11 år;1684;612
Land Rover;12 - 15 år;3162;242
Land Rover;16 - 20 år;2211;152
Land Rover;Over 20 år;1146;246
Lasalle;Under 4 år;0;0
Lasalle;4 - 7 år;0;0
Lasalle;8 - 11 år;0;0
Lasalle;12 - 15 år;0;0
Lasalle;16 - 20 år;0;0
Lasalle;Over 20 år;1;0
Laverda;Under 4 år;0;0
Laverda;4 - 7 år;0;0
Laverda;8 - 11 år;0;0
Laverda;12 - 15 år;0;0
Laverda;16 - 20 år;0;0
Laverda;Over 20 år;1;0
Lea Francis;Under 4 år;0;0
Lea Francis;4 - 7 år;0;0
Lea Francis;8 - 11 år;0;0
Lea Francis;12 - 15 år;0;0
Lea Francis;16 - 20 år;0;0
Lea Francis;Over 20 år;1;0
Levc;Under 4 år;3;0
Levc;4 - 7 år;0;0
Levc;8 - 11 år;0;0
Levc;12 - 15 år;0;0
Levc;16 - 20 år;0;0
Levc;Over 20 år;0;0
Lexus;Under 4 år;2814;0
Lexus;4 - 7 år;3616;0
Lexus;8 - 11 år;1944;0
Lexus;12 - 15 år;1165;0
Lexus;16 - 20 år;500;2
Lexus;Over 20 år;136;0
Leyland;Under 4 år;0;0
Leyland;4 - 7 år;0;0
Leyland;8 - 11 år;0;0
Leyland;12 - 15 år;0;0
Leyland;16 - 20 år;0;0
Leyland;Over 20 år;28;0
Ligier;Under 4 år;0;0
Ligier;4 - 7 år;0;0
Ligier;8 - 11 år;0;0
Ligier;12 - 15 år;0;0
Ligier;16 - 20 år;0;0
Ligier;Over 20 år;0;0
Lincoln;Under 4 år;2;1
Lincoln;4 - 7 år;1;1
Lincoln;8 - 11 år;1;2
Lincoln;12 - 15 år;4;1
Lincoln;16 - 20 år;18;0
Lincoln;Over 20 år;763;0
Lloyd;Under 4 år;0;0
Lloyd;4 - 7 år;0;0
Lloyd;8 - 11 år;0;0
Lloyd;12 - 15 år;0;0
Lloyd;16 - 20 år;0;0
Lloyd;Over 20 år;9;2
Lmc;Under 4 år;0;0
Lmc;4 - 7 år;1;0
Lmc;8 - 11 år;0;0
Lmc;12 - 15 år;2;126
Lmc;16 - 20 år;0;19
Lmc;Over 20 år;0;2
Lotus;Under 4 år;1;0
Lotus;4 - 7 år;2;0
Lotus;8 - 11 år;8;0
Lotus;12 - 15 år;27;0
Lotus;16 - 20 år;45;0
Lotus;Over 20 år;141;0
Lti;Under 4 år;0;0
Lti;4 - 7 år;0;0
Lti;8 - 11 år;0;0
Lti;12 - 15 år;0;0
Lti;16 - 20 år;0;0
Lti;Over 20 år;1;0
Løwer;Under 4 år;0;0
Løwer;4 - 7 år;0;0
Løwer;8 - 11 år;0;0
Løwer;12 - 15 år;0;0
Løwer;16 - 20 år;0;0
Løwer;Over 20 år;1;0
Mack;Under 4 år;0;0
Mack;4 - 7 år;0;0
Mack;8 - 11 år;0;0
Mack;12 - 15 år;0;0
Mack;16 - 20 år;0;0
Mack;Over 20 år;0;0
Maco;Under 4 år;0;0
Maco;4 - 7 år;0;0
Maco;8 - 11 år;0;0
Maco;12 - 15 år;0;0
Maco;16 - 20 år;0;0
Maco;Over 20 år;0;0
Magirus Deutz;Under 4 år;0;0
Magirus Deutz;4 - 7 år;0;0
Magirus Deutz;8 - 11 år;0;0
Magirus Deutz;12 - 15 år;0;0
Magirus Deutz;16 - 20 år;0;0
Magirus Deutz;Over 20 år;1;0
Man;Under 4 år;0;99
Man;4 - 7 år;1;0
Man;8 - 11 år;0;0
Man;12 - 15 år;3;0
Man;16 - 20 år;2;0
Man;Over 20 år;16;0
Marmon;Under 4 år;0;0
Marmon;4 - 7 år;0;0
Marmon;8 - 11 år;0;0
Marmon;12 - 15 år;0;0
Marmon;16 - 20 år;0;0
Marmon;Over 20 år;3;0
Martin Motors;Under 4 år;0;0
Martin Motors;4 - 7 år;0;0
Martin Motors;8 - 11 år;0;0
Martin Motors;12 - 15 år;0;0
Martin Motors;16 - 20 år;0;0
Martin Motors;Over 20 år;0;0
Maserati;Under 4 år;69;0
Maserati;4 - 7 år;40;0
Maserati;8 - 11 år;7;0
Maserati;12 - 15 år;29;0
Maserati;16 - 20 år;17;0
Maserati;Over 20 år;74;0
Massey-Ferguson;Under 4 år;0;0
Massey-Ferguson;4 - 7 år;0;0
Massey-Ferguson;8 - 11 år;0;0
Massey-Ferguson;12 - 15 år;0;0
Massey-Ferguson;16 - 20 år;0;0
Massey-Ferguson;Over 20 år;0;0
Matador;Under 4 år;0;0
Matador;4 - 7 år;0;0
Matador;8 - 11 år;0;0
Matador;12 - 15 år;0;0
Matador;16 - 20 år;0;0
Matador;Over 20 år;0;0
Matkaaja;Under 4 år;0;0
Matkaaja;4 - 7 år;0;0
Matkaaja;8 - 11 år;0;0
Matkaaja;12 - 15 år;0;0
Matkaaja;16 - 20 år;0;0
Matkaaja;Over 20 år;0;1
Matra;Under 4 år;0;0
Matra;4 - 7 år;0;0
Matra;8 - 11 år;0;0
Matra;12 - 15 år;0;0
Matra;16 - 20 år;2;0
Matra;Over 20 år;17;0
Maxus;Under 4 år;3;103
Maxus;4 - 7 år;0;0
Maxus;8 - 11 år;0;0
Maxus;12 - 15 år;0;0
Maxus;16 - 20 år;0;0
Maxus;Over 20 år;0;0
Mazda;Under 4 år;10312;0
Mazda;4 - 7 år;25032;1
Mazda;8 - 11 år;10335;196
Mazda;12 - 15 år;10146;314
Mazda;16 - 20 år;4740;21
Mazda;Over 20 år;5475;179
MCLaren;Under 4 år;7;0
MCLaren;4 - 7 år;8;0
MCLaren;8 - 11 år;2;0
MCLaren;12 - 15 år;0;0
MCLaren;16 - 20 år;0;0
MCLaren;Over 20 år;0;0
Mclouis;Under 4 år;0;0
Mclouis;4 - 7 år;0;0
Mclouis;8 - 11 år;0;1
Mclouis;12 - 15 år;0;23
Mclouis;16 - 20 år;0;0
Mclouis;Over 20 år;0;0
MCM;Under 4 år;0;0
MCM;4 - 7 år;0;2
MCM;8 - 11 år;0;0
MCM;12 - 15 år;0;0
MCM;16 - 20 år;0;0
MCM;Over 20 år;0;0
Mercedes sprinter, Bus factor;Under 4 år;0;1
Mercedes sprinter, Bus factor;4 - 7 år;0;1
Mercedes sprinter, Bus factor;8 - 11 år;0;0
Mercedes sprinter, Bus factor;12 - 15 år;0;0
Mercedes sprinter, Bus factor;16 - 20 år;0;0
Mercedes sprinter, Bus factor;Over 20 år;0;0
Mercedes-Amg;Under 4 år;90;5
Mercedes-Amg;4 - 7 år;187;9
Mercedes-Amg;8 - 11 år;60;2
Mercedes-Amg;12 - 15 år;27;4
Mercedes-Amg;16 - 20 år;19;0
Mercedes-Amg;Over 20 år;5;0
Mercedes-Benz;Under 4 år;20162;11661
Mercedes-Benz;4 - 7 år;33648;12199
Mercedes-Benz;8 - 11 år;29926;7209
Mercedes-Benz;12 - 15 år;27474;5116
Mercedes-Benz;16 - 20 år;25056;1603
Mercedes-Benz;Over 20 år;23986;916
Mercury;Under 4 år;0;0
Mercury;4 - 7 år;0;0
Mercury;8 - 11 år;2;0
Mercury;12 - 15 år;0;0
Mercury;16 - 20 år;0;0
Mercury;Over 20 år;447;3
Messerschmitt;Under 4 år;0;0
Messerschmitt;4 - 7 år;0;0
Messerschmitt;8 - 11 år;0;0
Messerschmitt;12 - 15 år;0;0
Messerschmitt;16 - 20 år;0;0
Messerschmitt;Over 20 år;0;0
Mg;Under 4 år;3;0
Mg;4 - 7 år;0;0
Mg;8 - 11 år;0;0
Mg;12 - 15 år;14;0
Mg;16 - 20 år;102;0
Mg;Over 20 år;1628;0
Mia;Under 4 år;0;0
Mia;4 - 7 år;4;0
Mia;8 - 11 år;2;0
Mia;12 - 15 år;0;0
Mia;16 - 20 år;0;0
Mia;Over 20 år;0;0
Micro Compact Car;Under 4 år;0;0
Micro Compact Car;4 - 7 år;0;0
Micro Compact Car;8 - 11 år;0;0
Micro Compact Car;12 - 15 år;0;0
Micro Compact Car;16 - 20 år;86;2
Micro Compact Car;Over 20 år;19;0
Microcar;Under 4 år;0;0
Microcar;4 - 7 år;0;0
Microcar;8 - 11 år;0;0
Microcar;12 - 15 år;0;0
Microcar;16 - 20 år;1;0
Microcar;Over 20 år;1;0
Micro-Vett;Under 4 år;0;0
Micro-Vett;4 - 7 år;0;0
Micro-Vett;8 - 11 år;10;8
Micro-Vett;12 - 15 år;0;0
Micro-Vett;16 - 20 år;0;0
Micro-Vett;Over 20 år;0;0
Miller;Under 4 år;0;0
Miller;4 - 7 år;0;0
Miller;8 - 11 år;0;0
Miller;12 - 15 år;0;1
Miller;16 - 20 år;0;0
Miller;Over 20 år;0;0
Mini;Under 4 år;2887;0
Mini;4 - 7 år;3560;0
Mini;8 - 11 år;3429;0
Mini;12 - 15 år;1833;0
Mini;16 - 20 år;1181;0
Mini;Over 20 år;11;1
Mirage;Under 4 år;0;0
Mirage;4 - 7 år;0;0
Mirage;8 - 11 år;0;0
Mirage;12 - 15 år;0;6
Mirage;16 - 20 år;0;0
Mirage;Over 20 år;0;0
Mitsubishi;Under 4 år;17906;1470
Mitsubishi;4 - 7 år;28595;2986
Mitsubishi;8 - 11 år;20244;3414
Mitsubishi;12 - 15 år;15321;2284
Mitsubishi;16 - 20 år;9012;1140
Mitsubishi;Over 20 år;5889;1487
Mitsubishi Fuso;Under 4 år;0;0
Mitsubishi Fuso;4 - 7 år;0;0
Mitsubishi Fuso;8 - 11 år;1;0
Mitsubishi Fuso;12 - 15 år;2;6
Mitsubishi Fuso;16 - 20 år;0;0
Mitsubishi Fuso;Over 20 år;0;0
Mobilvetta;Under 4 år;0;0
Mobilvetta;4 - 7 år;0;0
Mobilvetta;8 - 11 år;0;0
Mobilvetta;12 - 15 år;0;6
Mobilvetta;16 - 20 år;0;0
Mobilvetta;Over 20 år;0;0
Mo-Pro;Under 4 år;0;0
Mo-Pro;4 - 7 år;0;0
Mo-Pro;8 - 11 år;0;0
Mo-Pro;12 - 15 år;0;0
Mo-Pro;16 - 20 år;0;0
Mo-Pro;Over 20 år;1;0
Morgan;Under 4 år;5;0
Morgan;4 - 7 år;12;0
Morgan;8 - 11 år;26;0
Morgan;12 - 15 år;48;0
Morgan;16 - 20 år;62;0
Morgan;Over 20 år;308;0
Morris;Under 4 år;0;0
Morris;4 - 7 år;0;0
Morris;8 - 11 år;0;0
Morris;12 - 15 år;0;0
Morris;16 - 20 år;0;0
Morris;Over 20 år;411;54
Moskwitch;Under 4 år;0;0
Moskwitch;4 - 7 år;0;0
Moskwitch;8 - 11 år;0;0
Moskwitch;12 - 15 år;0;0
Moskwitch;16 - 20 år;0;0
Moskwitch;Over 20 år;38;0
Mullerup;Under 4 år;0;0
Mullerup;4 - 7 år;0;0
Mullerup;8 - 11 år;0;0
Mullerup;12 - 15 år;0;0
Mullerup;16 - 20 år;0;0
Mullerup;Over 20 år;0;0
Multivans;Under 4 år;0;0
Multivans;4 - 7 år;0;0
Multivans;8 - 11 år;0;0
Multivans;12 - 15 år;8;6
Multivans;16 - 20 år;45;42
Multivans;Over 20 år;0;0
Munsterland;Under 4 år;0;0
Munsterland;4 - 7 år;0;0
Munsterland;8 - 11 år;0;0
Munsterland;12 - 15 år;0;0
Munsterland;16 - 20 år;0;6
Munsterland;Over 20 år;0;2
Mustang;Under 4 år;0;0
Mustang;4 - 7 år;0;0
Mustang;8 - 11 år;0;0
Mustang;12 - 15 år;0;0
Mustang;16 - 20 år;0;0
Mustang;Over 20 år;16;0
N.M.V.;Under 4 år;0;0
N.M.V.;4 - 7 år;0;0
N.M.V.;8 - 11 år;0;0
N.M.V.;12 - 15 år;0;0
N.M.V.;16 - 20 år;0;0
N.M.V.;Over 20 år;0;1
Nash;Under 4 år;0;0
Nash;4 - 7 år;0;0
Nash;8 - 11 år;0;0
Nash;12 - 15 år;0;0
Nash;16 - 20 år;0;0
Nash;Over 20 år;101;0
Navya;Under 4 år;6;0
Navya;4 - 7 år;0;0
Navya;8 - 11 år;0;0
Navya;12 - 15 år;0;0
Navya;16 - 20 år;0;0
Navya;Over 20 år;0;0
Neckar;Under 4 år;0;0
Neckar;4 - 7 år;0;0
Neckar;8 - 11 år;0;0
Neckar;12 - 15 år;0;0
